26-Jan-09,21.38,22.02,21.23,21.61,8822542,2011-11-28 17:10:35.079976,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
27-Jan-09,21.68,21.82,21.14,21.54,8418733,2011-11-28 17:10:35.079850,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
28-Jan-09,21.87,22.89,21.57,22.79,8521826,2011-11-28 17:10:35.079725,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
29-Jan-09,22.40,22.67,22.03,22.26,7683403,2011-11-28 17:10:35.079598,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
30-Jan-09,22.39,22.77,21.69,21.90,8275413,2011-11-28 17:10:35.079450,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
2-Feb-09,21.75,22.29,21.49,22.07,6591547,2011-11-28 17:10:35.079314,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
3-Feb-09,22.02,22.73,21.60,22.55,7515663,2011-11-28 17:10:35.079176,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
4-Feb-09,22.80,23.72,22.53,22.98,11000042,2011-11-28 17:10:35.079052,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
5-Feb-09,22.56,22.92,22.14,22.52,12353022,2011-11-28 17:10:35.078928,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
6-Feb-09,22.36,23.10,22.26,22.58,8070158,2011-11-28 17:10:35.078804,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
9-Feb-09,22.52,22.93,22.41,22.58,8074568,2011-11-28 17:10:35.078681,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
10-Feb-09,22.41,23.53,21.45,22.30,18483641,2011-11-28 17:10:35.078559,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
11-Feb-09,22.74,23.44,22.40,22.94,17167051,2011-11-28 17:10:35.078432,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
12-Feb-09,22.67,23.56,22.29,23.48,12356613,2011-11-28 17:10:35.078283,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
13-Feb-09,23.47,23.65,23.03,23.24,8784701,2011-11-28 17:10:35.078147,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
17-Feb-09,21.99,22.47,21.05,22.04,10394777,2011-11-28 17:10:35.078022,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
18-Feb-09,21.56,22.30,21.38,21.47,10197286,2011-11-28 17:10:35.077898,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
19-Feb-09,21.54,22.03,21.20,21.23,11155865,2011-11-28 17:10:35.077772,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
20-Feb-09,21.27,21.75,20.92,21.48,12002294,2011-11-28 17:10:35.077642,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
23-Feb-09,21.55,21.74,20.68,20.81,8719734,2011-11-28 17:10:35.077517,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
24-Feb-09,20.81,22.07,20.73,21.87,9470769,2011-11-28 17:10:35.077393,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
25-Feb-09,21.57,21.84,21.02,21.39,11657259,2011-11-28 17:10:35.077269,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
26-Feb-09,21.17,21.32,19.94,19.95,14942936,2011-11-28 17:10:35.077144,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
27-Feb-09,19.63,20.64,19.42,19.94,21932560,2011-11-28 17:10:35.077017,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
2-Mar-09,19.52,19.95,19.33,19.41,11361470,2011-11-28 17:10:35.076876,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
3-Mar-09,19.70,20.18,19.20,19.64,11945655,2011-11-28 17:10:35.076752,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
4-Mar-09,20.28,20.93,19.65,20.55,12011738,2011-11-28 17:10:35.076628,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
5-Mar-09,20.42,20.42,19.70,19.84,16288946,2011-11-28 17:10:35.076503,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
6-Mar-09,20.49,20.49,18.81,19.68,15677863,2011-11-28 17:10:35.076378,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
9-Mar-09,19.73,20.48,18.95,19.01,12850140,2011-11-28 17:10:35.076255,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
10-Mar-09,19.34,20.03,19.26,20.00,13460427,2011-11-28 17:10:35.076131,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
11-Mar-09,20.36,20.85,19.89,20.06,11225512,2011-11-28 17:10:35.076005,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
12-Mar-09,19.96,21.20,19.67,21.13,10981599,2011-11-28 17:10:35.075879,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
13-Mar-09,21.12,21.42,20.75,21.00,10354244,2011-11-28 17:10:35.075753,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
16-Mar-09,21.45,21.45,20.83,20.86,12908828,2011-11-28 17:10:35.075626,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
17-Mar-09,21.10,21.74,20.87,21.73,8275110,2011-11-28 17:10:35.075500,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
18-Mar-09,21.45,22.47,21.45,22.16,8743447,2011-11-28 17:10:35.075375,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
19-Mar-09,22.56,22.56,21.70,22.07,9022534,2011-11-28 17:10:35.075229,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
20-Mar-09,21.85,22.67,21.47,21.79,11971432,2011-11-28 17:10:35.075086,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
23-Mar-09,22.65,23.55,22.00,23.45,9695086,2011-11-28 17:10:35.074936,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
24-Mar-09,23.03,23.50,22.81,22.90,8465858,2011-11-28 17:10:35.074809,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
25-Mar-09,22.81,23.86,22.49,23.14,11480873,2011-11-28 17:10:35.074684,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
26-Mar-09,23.81,23.81,22.92,23.59,10142561,2011-11-28 17:10:35.074543,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
27-Mar-09,23.17,23.44,22.70,22.88,8615801,2011-11-28 17:10:35.074418,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
30-Mar-09,22.41,22.75,22.07,22.40,6777145,2011-11-28 17:10:35.074294,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
31-Mar-09,22.68,23.19,22.10,22.79,8345760,2011-11-28 17:10:35.074170,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
1-Apr-09,22.66,23.58,22.40,23.46,7766461,2011-11-28 17:10:35.074046,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
2-Apr-09,23.99,24.79,23.61,24.44,11741590,2011-11-28 17:10:35.073922,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
3-Apr-09,24.03,24.53,23.97,24.36,7575940,2011-11-28 17:10:35.073797,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
6-Apr-09,24.03,24.55,24.00,24.49,8066408,2011-11-28 17:10:35.073675,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
7-Apr-09,24.05,24.45,23.48,23.81,9169980,2011-11-28 17:10:35.073553,DTV,Consumer Discretionary,45.50 - 46.50,39.12 - 53.40,46.10,N/P,4.98M/6.01M,32.25B,14.27,&nbsp;&nbsp;&nbsp;&nbsp;-,3.20,705.58M,&nbsp;&nbsp;&nbsp;&nbsp;-,87%
