29-Jan-09,3.64,3.64,3.16,3.18,7930852,2011-11-28 17:14:59.311195,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
30-Jan-09,3.26,3.29,2.87,2.90,10503157,2011-11-28 17:14:59.311059,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
2-Feb-09,2.79,2.90,2.56,2.75,9833357,2011-11-28 17:14:59.310918,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
3-Feb-09,2.81,2.85,2.65,2.68,6461512,2011-11-28 17:14:59.310799,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
4-Feb-09,2.80,2.83,2.65,2.67,6674325,2011-11-28 17:14:59.310681,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
5-Feb-09,2.63,3.02,2.60,2.90,9417226,2011-11-28 17:14:59.310564,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
6-Feb-09,2.96,3.06,2.84,3.03,7910777,2011-11-28 17:14:59.310446,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
9-Feb-09,3.10,3.50,3.09,3.39,9596364,2011-11-28 17:14:59.310327,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
10-Feb-09,3.39,3.42,2.85,2.90,13351667,2011-11-28 17:14:59.310209,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
11-Feb-09,3.40,4.85,3.30,4.68,34280417,2011-11-28 17:14:59.310087,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
12-Feb-09,4.47,4.68,3.93,4.35,28544420,2011-11-28 17:14:59.309965,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
13-Feb-09,4.08,4.43,4.01,4.31,10945775,2011-11-28 17:14:59.309843,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
17-Feb-09,3.99,4.08,3.51,3.51,11174207,2011-11-28 17:14:59.309721,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
18-Feb-09,3.72,3.89,3.34,3.73,11718451,2011-11-28 17:14:59.309599,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
19-Feb-09,3.85,3.90,3.50,3.51,10337854,2011-11-28 17:14:59.309477,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
20-Feb-09,3.24,3.61,3.05,3.38,13800100,2011-11-28 17:14:59.309335,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
23-Feb-09,3.52,3.66,3.09,3.18,10693787,2011-11-28 17:14:59.309198,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
24-Feb-09,3.16,3.83,3.14,3.80,11522585,2011-11-28 17:14:59.309061,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
25-Feb-09,3.76,3.81,3.28,3.54,11305771,2011-11-28 17:14:59.308923,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
26-Feb-09,3.77,3.77,3.30,3.36,9856772,2011-11-28 17:14:59.308782,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
27-Feb-09,3.19,3.58,3.06,3.31,17310878,2011-11-28 17:14:59.308645,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
2-Mar-09,3.15,3.28,3.05,3.24,8703588,2011-11-28 17:14:59.308486,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
3-Mar-09,3.27,3.39,3.05,3.12,12942692,2011-11-28 17:14:59.308356,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
4-Mar-09,3.21,3.45,3.15,3.28,7386385,2011-11-28 17:14:59.308236,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
5-Mar-09,3.32,3.32,2.83,2.89,9428821,2011-11-28 17:14:59.308117,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
6-Mar-09,3.02,3.09,2.74,2.95,7831922,2011-11-28 17:14:59.308000,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
9-Mar-09,2.95,3.42,2.84,3.21,7431065,2011-11-28 17:14:59.307881,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
10-Mar-09,3.42,3.68,3.26,3.68,9590730,2011-11-28 17:14:59.307761,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
11-Mar-09,3.68,3.74,3.29,3.48,9296945,2011-11-28 17:14:59.307624,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
12-Mar-09,3.46,3.94,3.31,3.93,8205757,2011-11-28 17:14:59.307483,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
13-Mar-09,3.95,4.15,3.65,3.99,9187444,2011-11-28 17:14:59.307363,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
16-Mar-09,4.08,4.20,3.61,3.64,9281373,2011-11-28 17:14:59.307242,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
17-Mar-09,3.78,4.12,3.65,4.12,8138758,2011-11-28 17:14:59.307121,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
18-Mar-09,4.05,5.17,3.80,5.12,19103370,2011-11-28 17:14:59.307001,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
19-Mar-09,5.30,5.75,4.87,4.97,18882047,2011-11-28 17:14:59.306878,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
20-Mar-09,5.15,5.15,4.04,4.24,17422263,2011-11-28 17:14:59.306756,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
23-Mar-09,4.53,5.69,4.52,5.69,18177744,2011-11-28 17:14:59.306633,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
24-Mar-09,5.28,5.55,4.95,5.38,16770737,2011-11-28 17:14:59.306513,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
25-Mar-09,5.44,6.00,5.13,5.79,14511505,2011-11-28 17:14:59.306392,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
26-Mar-09,5.83,6.04,5.52,6.01,14041116,2011-11-28 17:14:59.306270,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
27-Mar-09,5.76,6.44,5.56,6.19,9586958,2011-11-28 17:14:59.306149,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
30-Mar-09,5.86,5.96,5.26,5.30,12547079,2011-11-28 17:14:59.306029,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
31-Mar-09,5.43,5.55,5.12,5.46,7898982,2011-11-28 17:14:59.305891,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
1-Apr-09,5.21,5.84,5.20,5.77,5830280,2011-11-28 17:14:59.305771,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
2-Apr-09,6.18,6.50,5.98,6.00,9228318,2011-11-28 17:14:59.305652,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
3-Apr-09,5.99,6.13,5.72,6.13,8004412,2011-11-28 17:14:59.305532,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
6-Apr-09,6.02,6.02,5.70,5.90,5023266,2011-11-28 17:14:59.305413,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
7-Apr-09,5.74,6.14,5.69,5.69,6897525,2011-11-28 17:14:59.305295,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
8-Apr-09,6.17,6.38,6.03,6.26,7553114,2011-11-28 17:14:59.305177,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
9-Apr-09,6.52,7.69,6.50,7.68,15003885,2011-11-28 17:14:59.305058,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
10-Apr-09,7.68,7.68,7.68,7.68,0,2011-11-28 17:14:59.304937,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
13-Apr-09,7.45,8.25,6.98,8.13,9839327,2011-11-28 17:14:59.304810,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
14-Apr-09,8.02,8.17,7.24,7.27,9741390,2011-11-28 17:14:59.304672,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
15-Apr-09,7.25,7.65,6.90,7.60,8793702,2011-11-28 17:14:59.304551,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
16-Apr-09,7.60,8.15,7.47,8.03,7686613,2011-11-28 17:14:59.304432,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
17-Apr-09,7.91,8.27,7.87,8.16,8900270,2011-11-28 17:14:59.304311,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
20-Apr-09,7.72,7.96,7.08,7.10,10074167,2011-11-28 17:14:59.304192,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
21-Apr-09,7.17,7.87,6.45,7.83,10248608,2011-11-28 17:14:59.304059,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
22-Apr-09,7.42,8.04,7.42,7.56,8445012,2011-11-28 17:14:59.303913,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
23-Apr-09,7.75,8.33,7.62,8.27,11509088,2011-11-28 17:14:59.303788,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
24-Apr-09,8.26,9.16,8.02,8.96,10806554,2011-11-28 17:14:59.303665,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
27-Apr-09,8.81,9.02,8.31,8.48,10484102,2011-11-28 17:14:59.303543,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
28-Apr-09,7.71,8.46,7.71,8.28,13630777,2011-11-28 17:14:59.303419,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
29-Apr-09,8.21,9.28,8.21,9.18,10774371,2011-11-28 17:14:59.303262,XL,Financials,19.24 - 19.70,17.69 - 25.43,19.50,N/P,4.19M/4.47M,6.22B,28.79,0.11/2.27,0.67,320.52M,2.49,&nbsp;&nbsp;&nbsp;&nbsp;-
