26-Jan-09,19.49,19.98,19.39,19.54,2818889,2011-11-28 17:10:29.889633,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
27-Jan-09,19.63,19.88,19.41,19.68,2231733,2011-11-28 17:10:29.889486,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
28-Jan-09,20.18,20.18,19.62,19.96,2854254,2011-11-28 17:10:29.889360,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
29-Jan-09,19.83,20.15,19.36,19.66,2289537,2011-11-28 17:10:29.889233,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
30-Jan-09,19.50,19.80,19.17,19.34,2151912,2011-11-28 17:10:29.889106,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
2-Feb-09,19.38,19.41,18.77,19.05,2241074,2011-11-28 17:10:29.888981,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
3-Feb-09,19.31,19.67,18.83,19.59,1548149,2011-11-28 17:10:29.888857,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
4-Feb-09,19.82,20.10,18.98,19.21,1925703,2011-11-28 17:10:29.888733,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
5-Feb-09,19.13,19.62,18.75,19.25,1951737,2011-11-28 17:10:29.888609,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
6-Feb-09,19.39,19.41,18.93,19.36,2876169,2011-11-28 17:10:29.888485,DF,Consumer Staples,9.30 - 9.56,7.13 - 13.90,9.55,N/P,2.12M/2.61M,1.73B,&nbsp;&nbsp;&nbsp;&nbsp;-,&nbsp;&nbsp;&nbsp;&nbsp;-,-8.66,183.70M,0.82,81%
