1-Jan-09,19.08,19.08,19.08,19.08,0,2011-11-28 17:14:34.411143,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
2-Jan-09,19.19,20.70,19.00,20.62,3222431,2011-11-28 17:14:34.411030,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
5-Jan-09,20.36,20.70,19.93,20.54,2708798,2011-11-28 17:14:34.410908,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
6-Jan-09,20.75,20.99,20.52,20.61,4159964,2011-11-28 17:14:34.410784,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
7-Jan-09,20.39,20.39,19.15,19.17,3258992,2011-11-28 17:14:34.410663,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
8-Jan-09,19.20,19.77,19.05,19.68,3054082,2011-11-28 17:14:34.410541,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
9-Jan-09,19.59,19.59,18.64,18.70,3909596,2011-11-28 17:14:34.410419,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
12-Jan-09,18.80,18.86,17.19,17.39,5674451,2011-11-28 17:14:34.410297,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
13-Jan-09,17.39,17.85,17.10,17.28,4337248,2011-11-28 17:14:34.410172,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
14-Jan-09,17.11,17.61,16.89,17.40,4496263,2011-11-28 17:14:34.410048,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
15-Jan-09,17.31,18.71,17.31,18.38,6796164,2011-11-28 17:14:34.409924,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
16-Jan-09,18.73,19.08,17.94,18.61,4521861,2011-11-28 17:14:34.409800,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
20-Jan-09,18.44,18.61,17.08,17.09,4539992,2011-11-28 17:14:34.409677,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
21-Jan-09,17.13,19.46,17.13,19.41,6593707,2011-11-28 17:14:34.409553,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
22-Jan-09,18.87,18.99,18.00,18.52,5113870,2011-11-28 17:14:34.409429,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
23-Jan-09,17.99,18.81,17.87,18.46,4262561,2011-11-28 17:14:34.409304,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
26-Jan-09,18.62,18.81,18.30,18.74,4776436,2011-11-28 17:14:34.409179,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
27-Jan-09,18.84,19.63,18.69,19.50,4950507,2011-11-28 17:14:34.409042,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
28-Jan-09,19.56,20.61,19.43,20.40,4061643,2011-11-28 17:14:34.408901,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
29-Jan-09,20.00,20.28,19.58,19.65,2631353,2011-11-28 17:14:34.408762,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
30-Jan-09,19.73,20.05,19.16,19.31,2688183,2011-11-28 17:14:34.408629,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
2-Feb-09,18.33,19.23,18.30,19.00,3068781,2011-11-28 17:14:34.408507,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
3-Feb-09,18.82,19.85,18.82,19.78,4823146,2011-11-28 17:14:34.408385,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
4-Feb-09,19.78,20.32,19.43,19.51,3556882,2011-11-28 17:14:34.408263,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
5-Feb-09,18.93,20.26,18.67,20.21,4966439,2011-11-28 17:14:34.408123,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
6-Feb-09,18.89,20.34,18.51,20.09,10823650,2011-11-28 17:14:34.407978,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
9-Feb-09,20.10,20.74,19.92,20.63,6734755,2011-11-28 17:14:34.407841,VRSN,Information Technology,32.06 - 32.54,27.00 - 37.73,32.38,N/P,1.13M/1.66M,5.14B,84.92,2.75,0.38,159.07M,0.82,105%
